source,record_id,question_id,provider_id,title,classification,reason,known_query_risk,source_limitation,source_url,decision_authority,human_screening_claim,systematic_review_inclusion_claim,status
clinicaltrials,REC-CTGOV-NCT02318342,A1,NCT02318342,Assessment of TRanscathetEr and Surgical Aortic BiOprosthetic Valve Thrombosis and Its TrEatment With Anticoagulation,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02318342,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02319460,A1,NCT02319460,An Observational Cohort Study to Investigate the Risk of Thromboembolic Events in Patients Receiving Kcentra® or Plasma to Reverse Vitamin K Antagonist (VKA) Therapy in the Setting of Acute Major Bleeding,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02319460,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02324686,A1,NCT02324686,Vitamin K Supplementation in Patients on Hemodialysis,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02324686,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02427516,A1,NCT02427516,Cost of Monitoring Patients Treated With Vitamin K Antagonists in Spain,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02427516,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02429453,A1,NCT02429453,FFP Versus PCC in Intracranial Hemorrhage,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02429453,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02464969,A1,NCT02464969,Apixaban for the Acute Treatment of Venous Thromboembolism in Children,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02464969,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02488421,A1,NCT02488421,"Real Evidence of Anticoagulation Treatment in Non-valvular Atrial Fibrillation in Germany, UK and France: REACT-AF2",ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02488421,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02522221,A1,NCT02522221,Tecarfarin Anti-Coagulation Trial (TACT),ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02522221,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02533960,A1,NCT02533960,Registry of Acute Stroke Under Novel Oral Anticoagulants - Prime,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02533960,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02565836,A1,NCT02565836,Fixed-dose Activated Versus Variable-dose Inactivated Prothrombin Complex Concentrate for Warfarin-associated Major Bleed,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02565836,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
