report_id,record_id,study_id,report_type,linkage_evidence,status
RPT-PUBMED-790341,REC-PUBMED-790341,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-798207,REC-PUBMED-798207,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-798275,REC-PUBMED-798275,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-806459,REC-PUBMED-806459,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-812196,REC-PUBMED-812196,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-812508,REC-PUBMED-812508,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-828536,REC-PUBMED-828536,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-831440,REC-PUBMED-831440,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-832019,REC-PUBMED-832019,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-835368,REC-PUBMED-835368,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-835947,REC-PUBMED-835947,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-846625,REC-PUBMED-846625,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-851899,REC-PUBMED-851899,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-852974,REC-PUBMED-852974,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-859820,REC-PUBMED-859820,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-869016,REC-PUBMED-869016,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-870684,REC-PUBMED-870684,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-873170,REC-PUBMED-873170,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-873737,REC-PUBMED-873737,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-877599,REC-PUBMED-877599,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-878519,REC-PUBMED-878519,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-878725,REC-PUBMED-878725,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-884934,REC-PUBMED-884934,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-885994,REC-PUBMED-885994,,bibliographic_record,PMID exact,needs_human_study_linkage
